e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm,e_furl,perf_furl,conf_furl
1.749145948,0.76,-0.117841418,2.339144495,0.78,-0.00955471,0.280320152,1,0.296195997,0.833191905,1,0.088722303,-0.322551169,0.8,-0.601036732
2.063801229,0.84,0.475460548,3.636441003,0.86,0.463630908,3.64105236,0.92,-0.005004848,1.011767133,1,0.663824823,1.595710837,0.78,0.12239128
0.789662477,0.74,0.379641936,-0.151531911,0.6,0.103235965,-2.35999146,0.38,-0.076594426,0.086754911,0.24,-0.41294386,-1.300162882,0.58,-0.043292501
1.132055191,0.36,0.086585003,0.753032625,0.58,0.30304751,0.087276283,0.32,-0.139868082,0.254481072,0.42,0.379641936,-0.412577157,0.52,0.196481353
1.245414941,0.18,-0.406283475,2.272978662,0.26,-0.056613271,0.23958371,0.48,0.163179429,0.48004384,0.5,0.09657558,0.017744347,0.36,0.059943464
1.561202817,0.56,-0.059943464,3.102355609,0.4,-0.349670204,5.284606218,0.66,0.053283079,0.813182697,0.68,-0.063273656,1.405815918,0.38,-0.213132315
0.687807405,0.22,-0.171078968,-0.316601985,0.28,-0.041363387,-2.234410127,0.28,-0.134017374,0.155729978,0.3,-0.03871613,-8.525635003,0.84,0.458968141
1.435605132,0.86,0.094970336,1.304605857,0.94,0.714428419,0.114289087,0.58,-0.374917739,0.405485604,0.7,-0.212111448,-1.234667387,0.74,0.269689283
1.630267605,0.5,-0.813038734,2.304362936,0.8,-0.110192063,0.453763811,0.94,0.05923237,0.841823374,0.58,-0.549636686,-0.313510627,0.34,-0.172402597
2.004166468,1,0.889147365,3.219643847,0.56,-0.562872969,4.639297717,0.78,0.449702743,1.80705541,1,0.800464264,1.138820635,0.66,-0.556254827
0.964620053,0.52,-0.039770385,0.412455674,0.64,-0.073859287,-0.392366403,0.66,-0.051133353,0.249029841,0.58,0.107948189,-13.18804688,0.86,0.011362967
1.371517025,0.96,-0.184648218,1.379669787,0.84,-0.039770385,0.316205818,0.84,-0.059655578,0.580328468,0.92,-0.258507505,-0.700551368,0.92,0.136355607
1.698368691,0.98,0.224418603,2.15788804,0.9,0.23578157,0.609288032,0.86,0.002840742,0.888280548,0.86,-0.019885193,1.651558561,0.6,-0.042611127
1.954068973,0.78,4.49E-16,2.901642341,0.86,-0.122151898,3.72735355,0.88,0.107948189,1.366328903,0.88,0.170444509,21.0687422,0.86,-0.105107447
0.669555875,0.54,0.276207129,-0.047915964,0.36,0.31177505,-1.426776883,0.42,0.020562704,0.065409093,0.34,-0.186175832,-134.9865849,0.78,-0.161722887
0.988995634,0.36,-0.103925017,0.843473077,0.34,0.118374484,0.093882318,0.6,-0.159499892,0.132339329,0.72,0.031677679,-0.256399111,0.38,0.31622104
1.10156012,0.32,0.076137579,2.002583058,0.68,0.085029559,0.300946662,0.76,-0.168391872,0.399299698,0.16,0.402917845,-0.053044931,0.38,0.060576614
